0	unknown error
E5	bit field cannot contain all values of the enumerated type
E6	nonstandard type for a bit field
E7	declaration is not visible outside of function
E8	old-fashioned typedef of "void" ignored
E9	left operand is not a struct or union containing this field
EA	pointer does not point to struct or union containing this field
EB	variable %sq was declared with a never-completed type
EC	controlling expression is constant
ED	selector expression is constant
EE	invalid specifier on a parameter
EF	invalid specifier outside a class declaration
F0	duplicate specifier in declaration
F1	a union is not allowed to have a base class
F2	multiple access control specifiers are not allowed
F3	class or struct definition is missing
F4	qualified name is not a member of class %t or its base classes
F5	a nonstatic member reference must be relative to a specific object
F6	a nonstatic data member may not be defined outside its class
F7	%n has already been defined
F8	pointer to reference is not allowed
F9	reference to reference is not allowed
FA	reference to void is not allowed
FB	array of reference is not allowed
FC	reference %n requires an initializer
FD	expected a ","
FE	type name is not allowed
FF	type definition is not allowed
100	invalid redeclaration of type name %nod
101	const %n requires an initializer
102	"this" may only be used inside a nonstatic member function
103	constant value is not known
104	explicit type is missing ("int" assumed)
105	access control not specified (%sq by default)
106	not a class or struct name
107	duplicate base class name
108	invalid base class
109	%nd is inaccessible
10A	%no is ambiguous
10B	old-style parameter list (anachronism)
10C	declaration may not appear after executable statement in block
10D	conversion to inaccessible base class %t is not allowed
10E	
10F	
110	
111	
112	improperly terminated macro invocation
113	
114	name followed by "::" must be a class or namespace name
115	invalid friend declaration
116	a constructor or destructor may not return a value
117	invalid destructor declaration
118	declaration of a member with the same name as its class
119	global-scope qualifier (leading "::") is not allowed
11A	the global scope has no %sq
11B	qualified name is not allowed
11C	NULL reference is not allowed
11D	initialization with "{...}" is not allowed for object of type %t
11E	base class %t is ambiguous
11F	derived class %t1 contains more than one instance of class %t2
120	cannot convert pointer to base class %t2 to pointer to derived class %t1 -- base class is virtual
121	no instance of constructor %no matches the argument list
122	copy constructor for class %t is ambiguous
123	no default constructor exists for class %t
124	%sq is not a nonstatic data member or base class of class %t
125	indirect nonvirtual base class is not allowed
126	invalid union member -- class %t has a disallowed member function
127	
128	invalid use of non-lvalue array
129	expected an operator
12A	inherited member is not allowed
12B	cannot determine which instance of %n is intended
12C	a pointer to a bound function may only be used to call the function
12D	typedef name has already been declared (with same type)
12E	
12F	
130	no instance of %n matches the argument list
131	type definition is not allowed in function return type declaration
132	default argument not at end of parameter list
133	redefinition of default argument
134	more than one instance of %n matches the argument list:
135	more than one instance of constructor %no matches the argument list:
136	default argument of type %t1 is incompatible with parameter of type %t2
137	cannot overload functions distinguished by return type alone
138	no suitable user-defined conversion from %t1 to %t2 exists
139	
13A	only nonstatic member functions may be virtual
13B	the object has type qualifiers that are not compatible with the member function
13C	program too large to compile (too many virtual functions)
13D	return type is not identical to nor covariant with return type %t of overridden virtual function %no
13E	override of virtual %n is ambiguous
13F	pure specifier ("= 0") allowed only on virtual functions
140	badly-formed pure specifier (only "= 0" is allowed)
141	data member initializer is not allowed
142	object of abstract class type %t is not allowed:
143	function returning abstract class %t is not allowed:
144	duplicate friend declaration
145	inline specifier allowed on function declarations only
146	"inline" is not allowed
147	invalid storage class for an inline function
148	invalid storage class for a class member
149	local class member %n requires a definition
14A	%nfd is inaccessible
14B	
14C	class %t has no copy constructor to copy a const object
14D	defining an implicitly declared member function is not allowed
14E	class %t has no suitable copy constructor
14F	linkage specification is not allowed
150	unknown external linkage specification
151	linkage specification is incompatible with previous %nod
152	more than one instance of overloaded function %no has "C" linkage
153	class %t has more than one default constructor
154	value copied to temporary, reference to temporary used
155	"operator%s" must be a member function
156	operator may not be a static member function
157	no arguments allowed on user-defined conversion
158	too many parameters for this operator function
159	too few parameters for this operator function
15A	nonmember operator requires a parameter with class type
15B	default argument is not allowed
15C	more than one user-defined conversion from %t1 to %t2 applies:
15D	no operator %sq matches these operands
15E	more than one operator %sq matches these operands:
15F	first parameter of allocation function must be of type "size_t"
160	allocation function requires "void *" return type
161	deallocation function requires "void" return type
162	first parameter of deallocation function must be of type "void *"
163	
164	type must be an object type
165	base class %t has already been initialized
166	base class name required -- %t assumed (anachronism)
167	%n has already been initialized
168	name of member or base class is missing
169	assignment to "this" (anachronism)
16A	"overload" keyword used (anachronism)
16B	invalid anonymous union -- nonpublic member is not allowed
16C	invalid anonymous union -- member function is not allowed
16D	anonymous union at global or namespace scope must be declared static
16E	%nf provides no initializer for:
16F	implicitly generated constructor for class %t cannot initialize:
170	%n defines no constructor to initialize the following:
171	%n has an uninitialized const or reference member
172	%n has an uninitialized const field
173	class %t has no assignment operator to copy a const object
174	class %t has no suitable assignment operator
175	ambiguous assignment operator for class %t
176	
177	declaration requires a typedef name
178	
179	"virtual" is not allowed
17A	"static" is not allowed
17B	cast of bound function to normal function pointer (anachronism)
17C	expression must have pointer-to-member type
17D	extra ";" ignored
17E	in-class initializer for nonstatic member is nonstandard
17F	
180	no instance of overloaded %no matches the argument list
181	
182	no instance of %n matches the required type
183	delete array size expression used (anachronism)
184	
185	a cast to abstract class %t is not allowed:
186	function "main" may not be called or have its address taken
187	a new-initializer may not be specified for an array
188	member function %no may not be redeclared outside its class
189	
18A	reference to local variable of enclosing function is not allowed
18B	single-argument function used for postfix %sq (anachronism)
18C	
18D	implicitly generated assignment operator cannot copy:
18E	cast to array type is nonstandard (treated as cast to %t)
18F	%n has an operator new%s() but no default operator delete%s()
190	%n has a default operator delete%s() but no operator new%s()
191	destructor for base class %nod is not virtual
192	
193	invalid redeclaration of member %npd
194	function "main" may not be declared inline
195	member function with the same name as its class must be a constructor
196	using nested %n (anachronism)
197	a destructor may not have parameters
198	copy constructor for class %t may not have a parameter of type %t
199	%n returns incomplete type %t
19A	protected %nd is not accessible through a %t pointer or object
19B	a parameter is not allowed
19C	an "asm" declaration is not allowed here
19D	no suitable conversion function from %t1 to %t2 exists
19E	delete of pointer to incomplete class
19F	no suitable constructor exists to convert from %t1 to %t2
1A0	more than one constructor applies to convert from %t1 to %t2:
1A1	more than one conversion function from %t1 to %t2 applies:
1A2	more than one conversion function from %t to a built-in type applies:
1A3	const %n
1A4	reference %n
1A5	%npTd
1A6	built-in operator %sq
1A7	%nod, ambiguous by inheritance
1A8	a constructor or destructor may not have its address taken
1A9	
1AA	temporary used for initial value of reference to non-const (anachronism)
1AB	qualified name is not allowed in member declaration
1AC	enumerated type mixed with another type (anachronism)
1AD	the size of an array in "new" must be non-negative
1AE	returning reference to local temporary
1AF	
1B0	"enum" declaration is not allowed
1B1	qualifiers dropped in binding reference of type %t1 to initializer of type %t2
1B2	a reference of type %t1 (not const-qualified) cannot be initialized with a value of type %t2
1B3	a pointer to function may not be deleted
1B4	conversion function must be a nonstatic member function
1B5	a template declaration is not allowed here
1B6	expected a "<"
1B7	expected a ">"
1B8	template parameter declaration is missing
1B9	argument list for %nf is missing
1BA	too few arguments for %nf
1BB	too many arguments for %nf
1BC	
1BD	%n1 is not used in declaring the parameter types of %n2
1BE	two nested types have the same name: %no1 and %nod2 (cfront compatibility)
1BF	global %no1 was declared after nested %nod2 (cfront compatibility)
1C0	
1C1	more than one instance of %n matches the required type
1C2	the type "long long" is nonstandard
1C3	omission of %sq is nonstandard
1C4	return type may not be specified on a conversion function
1C5	detected during:
1C6	instantiation of %nt %p
1C7	implicit generation of %nt %p
1C8	excessive recursion at instantiation of %n
1C9	%sq is not a function or static data member
1CA	argument of type %t1 is incompatible with template parameter of type %t2
1CB	initialization requiring a temporary or conversion is not allowed
1CC	declaration of %sq hides function parameter
1CD	initial value of reference to non-const must be an lvalue
1CE	implicit definition of %nt %p
1CF	"template" is not allowed
1D0	%t is not a class template
1D1	
1D2	"main" is not a valid name for a function template
1D3	invalid reference to %n (union/nonunion mismatch)
1D4	a template argument may not reference a local type
1D5	tag kind of %s is incompatible with declaration of %nfd
1D6	the global scope has no tag named %sq
1D7	%n has no tag member named %sq
1D8	member function typedef (allowed for cfront compatibility)
1D9	%n may be used only in pointer-to-member declaration
1DA	
1DB	a template argument may not reference a non-external entity
1DC	name followed by "::~" must be a class name or a type name
1DD	
1DE	type used as destructor name does not match type %t
1DF	%n redeclared "inline" after being called
1E0	
1E1	invalid storage class for a template declaration
1E2	%nd is an inaccessible type (allowed for cfront compatibility)
1E3	
1E4	invalid explicit instantiation declaration
1E5	%nf is not an entity that can be instantiated
1E6	compiler generated %n cannot be explicitly instantiated
1E7	inline %n cannot be explicitly instantiated
1E8	
1E9	%n cannot be instantiated -- no template definition was supplied
1EA	%n cannot be instantiated -- it has been explicitly specialized
1EB	
1EC	
1ED	no instance of %n matches the specified type
1EE	declaring a void parameter list with a typedef is nonstandard
1EF	global %n1 used instead of %n2 (cfront compatibility)
1F0	template parameter %sq may not be redeclared in this scope
1F1	declaration of %sq hides template parameter
1F2	template argument list must match the parameter list
1F3	
1F4	extra parameter of postfix "operator%s" must be of type "int"
1F5	an operator name must be declared as a function
1F6	operator name is not allowed
1F7	%n cannot be specialized in the current scope
1F8	nonstandard form for taking the address of a member function
1F9	too few template parameters -- does not match previous declaration (declared %p)
1FA	too many template parameters -- does not match previous declaration (declared %p)
1FB	function template for operator delete(void *) is not allowed
1FC	class template and template parameter may not have the same name
1FD	
1FE	a template argument may not reference an unnamed type
1FF	this operation on an enumerated type requires an applicable user-defined operator function
200	type qualifier on a reference type is not allowed
201	a value of type %t1 cannot be assigned to an entity of type %t2
202	pointless comparison of unsigned integer with a negative constant
203	cannot convert to incomplete class %t
204	const object requires an initializer
205	object has an uninitialized const or reference member
206	nonstandard preprocessing directive
207	%n may not have a template argument list
208	initialization with "{...}" expected for aggregate object
209	pointer-to-member selection class types are incompatible (%t1 and %t2)
20A	pointless friend declaration
20B	"." used in place of "::" to form a qualified name
20C	non-const function called for const object (anachronism)
20D	a dependent statement may not be a declaration
20E	a parameter may not have void type
20F	instantiation of %na %p
210	processing of template argument list for %na %p
211	this operator is not allowed in a template argument expression
212	try block requires at least one handler
213	handler requires an exception declaration
214	handler is masked by default handler
215	handler is potentially masked by previous handler for type %t
216	use of a local type to specify an exception
217	redundant type in exception specification
218	exception specification is incompatible with that of previous %nd%s
219	previously specified: no exceptions will be thrown
21A	previously omitted: %t
21B	previously specified but omitted here: %t
21C	support for exception handling is disabled
21D	allowing all exceptions is incompatible with previous %nd
21E	could not create instantiation request file %sq
21F	non-arithmetic operation not allowed in nontype template argument
220	use of a local type to declare a nonlocal variable
221	use of a local type to declare a function
222	transfer of control bypasses initialization of:
223	%nd
224	transfer of control into an exception handler
225	%n is used before its value is set
226	%n was set but never used
227	%n cannot be defined in the current scope
228	exception specification is not allowed
229	external/internal linkage conflict for %nfd
22A	%nf will not be called for implicit or explicit conversions
22B	tag kind of %s is incompatible with template parameter of type %t
22C	function template for operator new(size_t) is not allowed
22D	
22E	pointer to member of type %t is not allowed
22F	ellipsis is not allowed in operator function parameter list
230	%no is reserved for future use as a keyword
231	invalid macro definition: %s
232	invalid macro undefinition: %s
233	
234	
235	IL file name must be specified if input is 
236	
237	
238	
239	
23A	error in debug option argument
23B	invalid option: %s
23C	back end requires name of IL file
23D	could not open IL file %s
23E	invalid number: %s
23F	incorrect host CPU id
240	invalid instantiation mode: %s
241	
242	invalid error limit: %s
243	
244	
245	
246	
247	
248	
249	virtual function tables can only be suppressed when compiling C++
24A	anachronism option can be used only when compiling C++
24B	instantiation mode option can be used only when compiling C++
24C	automatic instantiation mode can be used only when compiling C++
24D	implicit template inclusion mode can be used only when compiling C++
24E	exception handling option can be used only when compiling C++
24F	strict mode is incompatible with K&R mode
250	strict mode is incompatible with cfront mode
251	missing source file name
252	output files may not be specified when compiling several input files
253	too many arguments on command line
254	an output file was specified, but none is needed
255	IL display requires name of IL file
256	a template parameter may not have void type
257	excessive recursive instantiation of %n due to instantiate-all mode
258	strict mode is incompatible with allowing anachronisms
259	a throw expression may not have void type
25A	local instantiation mode is incompatible with automatic instantiation
25B	parameter of abstract class type %t is not allowed:
25C	array of abstract class %t is not allowed:
25D	floating-point template parameter is nonstandard
25E	this pragma must immediately precede a declaration
25F	this pragma must immediately precede a statement
260	this pragma must immediately precede a declaration or statement
261	this kind of pragma may not be used here
262	
263	overloaded virtual function %no1 is only partially overridden in %n2
264	specific definition of inline template function must precede its first use
265	invalid error tag in diagnostic control option: %s
266	invalid error number in diagnostic control option: %s
267	
268	
269	pointer-to-member-function cast to pointer to function
26A	struct or union declares no named members
26B	nonstandard unnamed field
26C	nonstandard unnamed member
26D	
26E	
26F	
270	%sq is not a type name
271	cannot open precompiled header input file %sq: %s2
272	precompiled header file %sq is either invalid or not generated by this version of the compiler
273	precompiled header file %sq was not generated in this directory
274	header files used to generate precompiled header file %sq have changed
275	the command line options do not match those used when precompiled header file %sq was created
276	the initial sequence of preprocessing directives is not compatible with those of precompiled header file %sq
277	unable to obtain mapped memory
278	"%s": using precompiled header file "%s"
279	"%s": creating precompiled header file "%s"
27A	memory usage conflict with precompiled header file %sq
27B	invalid PCH memory size: %s 
27C	PCH options must appear first in the command line
27D	insufficient memory for PCH memory allocation
27E	precompiled header files may not be used when compiling several input files
27F	insufficient preallocated memory for generation of precompiled header file (%s bytes required)
280	very large entity in program prevents generation of precompiled header file
281	%sq is not a valid directory
282	cannot build temporary file name
283	"restrict" is not allowed
284	a pointer or reference to function type may not be qualified by "restrict"
285	
286	a calling convention modifier may not be specified here
287	conflicting calling convention modifiers
288	strict mode is incompatible with Microsoft mode
289	cfront mode is incompatible with Microsoft mode
28A	calling convention specified here is ignored
28B	a calling convention may not be followed by a nested declarator
28C	calling convention is ignored for this type
28D	
28E	declaration modifiers are incompatible with previous declaration
28F	the modifier %sq is not allowed on this declaration
290	transfer of control into a try block
291	inline specification is incompatible with previous %nod
292	closing brace of template definition not found
293	wchar_t keyword option can be used only when compiling C++
294	invalid packing alignment value
295	expected an integer constant
296	call of pure virtual function
297	invalid source file identifier string
298	a class template cannot be defined in a friend declaration
299	"asm" is not allowed
29A	"asm" must be used with a function definition
29B	"asm" function is nonstandard
29C	ellipsis with no explicit parameters is nonstandard
29D	"&..." is nonstandard
29E	invalid use of "&..."
29F	
2A0	temporary used for initial value of reference to const volatile (anachronism)
2A1	a reference of type %t1 cannot be initialized with a value of type %t2
2A2	initial value of reference to const volatile must be an lvalue
2A3	SVR4 C compatibility option can be used only when compiling ANSI C
2A4	using out-of-scope declaration of %nd
2A5	strict mode is incompatible with SVR4 C mode
2A6	call of %nd cannot be inlined
2A7	%n cannot be inlined
2A8	invalid PCH directory: %s
2A9	expected __except or __finally
2AA	a __leave statement may only be used within a __try
2AB	detected during instantiation of %nt %p
2AC	detected during implicit generation of %nt %p
2AD	detected during instantiation of %na %p
2AE	detected during processing of template argument list for %na %p
2AF	detected during implicit definition of %nt %p
2B0	%sq not found on pack alignment stack
2B1	empty pack alignment stack
2B2	RTTI option can be used only when compiling C++
2B3	%nfd, required for copy that was eliminated, is inaccessible
2B4	%nf, required for copy that was eliminated, is not callable because reference parameter cannot be bound to rvalue
2B5	<typeinfo> must be included before typeid is used
2B6	%s cannot cast away const or other type qualifiers
2B7	the type in a dynamic_cast must be a pointer or reference to a complete class type, or void *
2B8	the operand of a pointer dynamic_cast must be a pointer to a complete class type
2B9	the operand of a reference dynamic_cast must be an lvalue of a complete class type
2BA	the operand of a runtime dynamic_cast must have a polymorphic class type
2BB	bool option can be used only when compiling C++
2BC	
2BD	an array type is not allowed here
2BE	expected an "="
2BF	
2C0	%sq, declared in condition, may not be redeclared in this scope
2C1	default template arguments are not allowed for function templates
2C2	expected a "," or ">"
2C3	expected a template parameter list
2C4	incrementing a bool value is deprecated
2C5	bool type is not allowed
2C6	offset of base class %no1 within class %no2 is too large
2C7	expression must have bool type (or be convertible to bool)
2C8	array new and delete option can be used only when compiling C++
2C9	%n is not a variable name
2CA	__based modifier is not allowed here
2CB	__based does not precede a pointer operator, __based ignored
2CC	variable in __based modifier must have pointer type
2CD	the type in a const_cast must be a pointer, reference, or pointer to member to an object type
2CE	a const_cast can only adjust type qualifiers; it cannot change the underlying type
2CF	mutable is not allowed
2D0	redeclaration of %n is not allowed to alter its access
2D1	
2D2	use of alternative token "<:" appears to be unintended
2D3	use of alternative token "%%:" appears to be unintended
2D4	namespace definition is not allowed
2D5	name must be a namespace name
2D6	namespace alias definition is not allowed
2D7	namespace-qualified name is required
2D8	a namespace name is not allowed
2D9	invalid combination of DLL attributes
2DA	%n is not a class template
2DB	array with incomplete element type is nonstandard
2DC	allocation operator may not be declared in a namespace
2DD	deallocation operator may not be declared in a namespace
2DE	%np1 conflicts with using-declaration of %np2
2DF	using-declaration of %np1 conflicts with %npd2
2E0	namespaces option can be used only when compiling C++
2E1	using-declaration ignored -- it refers to the current namespace
2E2	a class-qualified name is required
2E3	argument types are: (%s)
2E4	operand types are: %s
2E5	
2E6	%n has no actual member %sq
2E7	
2E8	incompatible memory attributes specified
2E9	memory attribute ignored
2EA	memory attribute may not be followed by a nested declarator
2EB	memory attribute specified more than once
2EC	calling convention specified more than once
2ED	a type qualifier is not allowed
2EE	%npd1 was used before its template was declared
2EF	static and nonstatic member functions with same parameter types cannot be overloaded
2F0	no prior declaration of %np
2F1	a template-id is not allowed
2F2	a class-qualified name is not allowed
2F3	%n may not be redeclared in the current scope
2F4	qualified name is not allowed in namespace member declaration
2F5	%n is not a type name
2F6	explicit instantiation is not allowed in the current scope
2F7	%n cannot be explicitly instantiated in the current scope
2F8	%n explicitly instantiated more than once
2F9	typename may only be used within a template
2FA	special_subscript_cost option can be used only when compiling C++
2FB	typename option can be used only when compiling C++
2FC	implicit typename option can be used only when compiling C++
2FD	nonstandard character at start of object-like macro definition
2FE	exception specification for virtual %n1 is incompatible with that of overridden %n2
2FF	conversion from pointer to smaller integer
300	exception specification for implicitly declared virtual %n1 is incompatible with that of overridden %n2
301	%no1, implicitly called from %np2, is ambiguous
302	option "explicit" can be used only when compiling C++
303	"explicit" is not allowed
304	declaration conflicts with %sq (reserved class name)
305	only "()" is allowed as initializer for array %n
306	"virtual" is not allowed in a function template declaration
307	invalid anonymous union -- class member template is not allowed
308	template nesting depth does not match the previous declaration of %n
309	this declaration cannot have multiple "template <...>" clauses
30A	option to control the for-init scope can be used only when compiling C++
30B	%sq, declared in for-loop initialization, may not be redeclared in this scope
30C	reference is to %nd1 -- under old for-init scoping rules it would have been %nd2
30D	option to control warnings on for-init differences can be used only when compiling C++
30E	definition of virtual %n is required here
30F	empty comment interpreted as token-pasting operator "##"
310	a storage class is not allowed in a friend declaration
311	template parameter list for %no is not allowed in this declaration
312	%n is not a valid class member template
313	not a valid member class or function template declaration
314	a template declaration containing a template parameter list may not be followed by an explicit specialization declaration
315	explicit specialization of %n1 must precede the first use of %n2
316	explicit specialization is not allowed in the current scope
317	partial specialization of %n is not allowed
318	%nf is not an entity that can be explicitly specialized
319	explicit specialization of %n must precede its first use
31A	template parameter %sq may not be used in an elaborated type specifier
31B	specializing %n requires "template<>" syntax
31C	
31D	
31E	option "old_specializations" can be used only when compiling C++
31F	specializing %n without "template<>" syntax is nonstandard
320	this declaration may not have extern "C" linkage
321	%sq is not a class or function template name in the current scope
322	specifying a default argument when redeclaring an unreferenced function template is nonstandard
323	specifying a default argument when redeclaring an already referenced function template is not allowed
324	cannot convert pointer to member of base class %t2 to pointer to member of derived class %t1 -- base class is virtual
325	exception specification is incompatible with that of %nd%s
326	allowing all exceptions is incompatible with %nd
327	unexpected end of default argument expression
328	default-initialization of reference is not allowed
329	uninitialized %n has a const member
32A	uninitialized base class %t has a const member
32B	const %n requires an initializer -- class %t has no user-provided default constructor
32C	const object requires an initializer -- class %t has no user-provided default constructor
32D	option "implicit_extern_c_type_conversion" can be used only when compiling C++
32E	strict mode is incompatible with long preserving rules
32F	type qualifier on return type is meaningless
330	in a function definition a type qualifier on a "void" return type is not allowed
331	static data member declaration is not allowed in this class
332	template instantiation resulted in an invalid function declaration
333	"..." is not allowed
334	option "extern_inline" can be used only when compiling C++
335	extern inline %n was referenced but not defined
336	invalid destructor name for type %t
337	
338	destructor reference is ambiguous -- both %n1 and %n2 could be used
339	virtual inline %n was never defined
33A	%n was never referenced
33B	only one member of a union may be specified in a constructor initializer list
33C	support for "new[]" and "delete[]" is disabled
33D	"double" used for "long double" in generated C code
33E	%n has no corresponding operator delete%s (to be called if an exception is thrown during initialization of an allocated object)
33F	support for placement delete is disabled
340	no appropriate operator delete is visible
341	pointer or reference to incomplete type %t is not allowed
342	invalid partial specialization -- %n is already fully specialized
343	incompatible exception specifications
344	returning reference to local variable
345	omission of explicit type is nonstandard ("int" assumed)
346	more than one partial specialization matches the template argument list of %n
347	%nod
348	a template argument list is not allowed in a declaration of a primary template
349	partial specializations may not have default template arguments
34A	%n1 is not used in or cannot be deduced from the template argument list of %n2
34B	
34C	the template argument list of the partial specialization includes a nontype argument whose type depends on a template parameter
34D	this partial specialization would have been used to instantiate %n
34E	this partial specialization would have made the instantiation of %n ambiguous
34F	expression must have integral or enum type
350	expression must have arithmetic or enum type
351	expression must have arithmetic, enum, or pointer type
352	type of cast must be integral or enum
353	type of cast must be arithmetic, enum, or pointer
354	expression must be a pointer to a complete object type
355	
356	
357	return type is not identical to return type %t of overridden virtual function %no
358	option "guiding_decls" can be used only when compiling C++
359	a partial specialization of a class template must be declared in the namespace of which it is a member
35A	%n is a pure virtual function
35B	pure virtual %n has no overrider
35C	__declspec attributes ignored
35D	invalid character in input line
35E	function returns incomplete type %t
35F	effect of this "#pragma pack" directive is local to %n
360	%s is not a template
361	a friend declaration may not declare a partial specialization
362	exception specification ignored
363	declaration of "size_t" does not match the expected type %t
364	space required between adjacent ">" delimiters of nested template argument lists (">>" is the right shift operator)
365	could not set locale %sq to allow processing of multibyte characters
366	invalid multibyte character sequence
367	template instantiation resulted in unexpected function type of %t1 (the meaning of a name may have changed since the template declaration -- the type of the template is %t2)
368	ambiguous guiding declaration -- more than one function template %no matches type %t
369	non-integral operation not allowed in nontype template argument
36A	option "embedded_c++" can be used only when compiling C++
36B	Embedded C++ does not support templates
36C	Embedded C++ does not support exception handling
36D	Embedded C++ does not support namespaces
